id,designation,short,names,aliases,tags,type,type_label,code,constellation,ra_deg,dec_deg,major_arcmin,minor_arcmin,v_mag,sb,sb_basis,messier,caldwell,plannable,why_not,source
ngc3810,NGC 3810,NGC 3810,,pgc36243|ugc6644,,galaxy,Spiral galaxy,G,Leo,175.24483,11.47114,3.35,2.29,10.75,21.79,leda,,,1,,NGC3810
ngc3813,NGC 3813,NGC 3813,,pgc36266|ugc6651,,galaxy,Spiral galaxy,G,Ursa Major,175.32775,36.54681,2.12,1.22,11.70,21.66,leda,,,1,,NGC3813
ngc3818,NGC 3818,NGC 3818,,pgc36304|ugca243,,galaxy,Elliptical galaxy,G,Virgo,175.48900,-6.15567,2.44,1.55,11.75,22.53,leda,,,1,,NGC3818
ngc3842,NGC 3842,NGC 3842,,pgc36487|ugc6704,,galaxy,Elliptical galaxy,G,Leo,176.00896,19.94981,2.14,1.49,11.84,22.35,leda,,,1,,NGC3842
ngc3872,NGC 3872,NGC 3872,,pgc36678|ugc6738,,galaxy,Elliptical galaxy,G,Leo,176.45442,13.76669,2.39,1.77,11.71,22.47,leda,,,1,,NGC3872
ngc3877,NGC 3877,NGC 3877,,pgc36699|ugc6745,,galaxy,Spiral galaxy,G,Ursa Major,176.53208,47.49433,5.36,1.23,11.00,22.21,leda,,,1,,NGC3877
ngc3882,NGC 3882,NGC 3882,,eso170-11|pgc36697,,galaxy,Spiral galaxy,G,Centaurus,176.52729,-56.38814,3.32,1.82,11.81,22.85,leda,,,1,,NGC3882
ngc3885,NGC 3885,NGC 3885,,eso440-7|pgc36737,,galaxy,Lenticular galaxy,G,Hydra,176.69371,-27.92217,2.74,1.11,11.87,22.62,leda,,,1,,NGC3885
ngc3887,NGC 3887,NGC 3887,,pgc36754|ugca246,,galaxy,Spiral galaxy,G,Crater,176.76904,-16.85461,3.27,2.57,10.93,22.07,leda,,,1,,NGC3887
ngc3892,NGC 3892,NGC 3892,,pgc36827,,galaxy,Lenticular galaxy,G,Crater,177.00413,-10.96206,3.08,2.70,11.91,23.10,leda,,,1,,NGC3892
ngc3893,NGC 3893,NGC 3893,,pgc36875|ugc6778,,galaxy,Spiral galaxy,G,Ursa Major,177.15913,48.71083,2.69,1.43,10.25,20.62,leda,,,1,,NGC3893
ngc3894,NGC 3894,NGC 3894,,pgc36889|ugc6779,,galaxy,Elliptical galaxy,G,Ursa Major,177.20983,59.41567,2.66,1.83,11.62,22.59,leda,,,1,,NGC3894
ngc3898,NGC 3898,NGC 3898,,pgc36921|ugc6787,,galaxy,Spiral galaxy,G,Ursa Major,177.31404,56.08436,3.47,2.11,10.72,21.87,leda,,,1,,NGC3898
ngc3900,NGC 3900,NGC 3900,,pgc36914|ugc6786,,galaxy,Lenticular galaxy,G,Leo,177.28942,27.02203,2.55,1.25,11.44,22.06,leda,,,1,,NGC3900
ngc3904,NGC 3904,NGC 3904,,eso440-13|pgc36918,,galaxy,Elliptical galaxy,G,Hydra,177.30508,-29.27675,3.47,2.51,10.79,22.35,leda,,,1,,NGC3904
ngc3917,NGC 3917,NGC 3917,,pgc37036|ugc6815,,galaxy,Spiral galaxy,G,Ursa Major,177.68929,51.82467,4.61,1.03,11.81,22.63,leda,,,1,,NGC3917
